,date,open,high,low,close
295,2022-11-18 02:00:00,16889.82000000,16980.10000000,16842.68000000,16920.13000000
296,2022-11-18 03:00:00,16919.39000000,16948.29000000,16850.00000000,16854.98000000
297,2022-11-18 04:00:00,16855.75000000,16869.08000000,16773.49000000,16808.69000000
298,2022-11-18 05:00:00,16808.69000000,16849.19000000,16782.47000000,16805.13000000
299,2022-11-18 06:00:00,16805.57000000,16823.19000000,16742.49000000,16794.65000000
300,2022-11-18 07:00:00,16794.13000000,16801.43000000,16724.32000000,16745.10000000
301,2022-11-18 08:00:00,16745.84000000,16749.89000000,16680.00000000,16737.44000000
302,2022-11-18 09:00:00,16737.44000000,16766.24000000,16719.45000000,16739.50000000
303,2022-11-18 10:00:00,16740.00000000,16854.33000000,16722.31000000,16767.85000000
304,2022-11-18 11:00:00,16767.25000000,16787.26000000,16712.04000000,16749.88000000
305,2022-11-18 12:00:00,16750.25000000,16792.17000000,16744.90000000,16777.98000000
306,2022-11-18 13:00:00,16778.29000000,16818.00000000,16729.23000000,16752.93000000
307,2022-11-18 14:00:00,16752.93000000,16785.14000000,16651.80000000,16700.52000000
308,2022-11-18 15:00:00,16699.35000000,16716.00000000,16608.80000000,16696.86000000
309,2022-11-18 16:00:00,16695.06000000,16732.85000000,16625.18000000,16654.80000000
310,2022-11-18 17:00:00,16654.79000000,16667.43000000,16550.19000000,16597.08000000
311,2022-11-18 18:00:00,16596.06000000,16613.03000000,16546.04000000,16587.43000000
312,2022-11-18 19:00:00,16588.11000000,16674.31000000,16567.28000000,16656.37000000
313,2022-11-18 20:00:00,16656.36000000,16683.00000000,16610.00000000,16639.06000000
314,2022-11-18 21:00:00,16639.06000000,16676.58000000,16630.05000000,16651.93000000
315,2022-11-18 22:00:00,16651.93000000,16671.80000000,16626.83000000,16665.73000000
316,2022-11-18 23:00:00,16665.73000000,16727.99000000,16628.94000000,16700.45000000
317,2022-11-19 00:00:00,16699.43000000,16708.77000000,16662.26000000,16664.26000000
318,2022-11-19 01:00:00,16664.77000000,16682.71000000,16650.72000000,16664.75000000
319,2022-11-19 02:00:00,16665.69000000,16665.70000000,16573.94000000,16624.24000000
320,2022-11-19 03:00:00,16624.24000000,16652.96000000,16611.89000000,16628.70000000
321,2022-11-19 04:00:00,16628.70000000,16649.00000000,16615.11000000,16635.14000000
322,2022-11-19 05:00:00,16635.14000000,16642.89000000,16553.53000000,16597.92000000
